おはよう,おはよう
こんにちは,こんにちは
こんばんは,こんばんは
ちーす。,こんにちわ
チャス。,こんにちわ
ニュース。,こんにちわ
雄。,こんにちは
よう。,こんにちは
よろしくお願い,こちらこそ、おねがいね
よろしく,よろしく
いってきます,いってらっしゃい
いってらっしゃい,いってきます
行ってきます,いってらっしゃい
行ってらっしゃい,いってきます
ただいま,おかえり
おかえり,ただいま
疲れた,お疲れさま
いただきます,いただきます
ごちそうさま,ごちそうさま
はじめまして,はじめまして
どういたしまして,いえいえ
ありがとう,どういたしまして
ごめん,大丈夫だよ
すみません,気にしてないよ
申し訳ございません,気にしてないよ
申し訳ありません,気にしてないよ
メリークリスマス,メリークリスマス
もしもし,どうしたの？
やあ,こんにちは
いらっしゃい,いらっしゃいました
あけましておめでとう,今年もよろしくね
よいお年を,よいお年を
さようなら。,バイバイ
じゃあね。,バイバイ
バイバイ。,バイバイ
また。,またね
また、今度。,またね
またね。,またね
じゃっ。,またね
じゃ。,またね
行ってきます。,いってらっしゃい