信じる。,どうして、そう信じているの？
信じた,どうして、そう信じていたの？
信じてた,どうして、そう信じていたの？
信じている,どうして、そう信じているの？
信じていた,どうして、そう信じていたの？
信じてる,どうして、そう信じているの？
しんじる。,どうして、そう信じているの？
しんじた,どうして、そう信じていたの？
しんじてた,どうして、そう信じていたの？
しんじている,どうして、そう信じているの？
しんじていた,どうして、そう信じていたの？
しんじてる,どうして、そう信じているの？
考える。,どうして、そう考えているの？
考えた,どうして、そう考えていたの？
考えてた,どうして、そう考えていたの？
考えている,どうして、そう考えているの？
考えていた,どうして、そう考えていたの？
考えてる,どうして、そう考えているの？
かんがえる。,どうして、そう考えているの？
かんがえた,どうして、そう考えていたの？
かんがえていた,どうして、そう考えいてたの？
かんがえている,どうして、そう考えているの？
かんがえてた,どうして、そう考えていたの？
かんがえてる,どうして、そう考えているの？
思う。,どうして、そう思っているの？
思った,どうして、そう思っていたの？
思っていた,どうして、そう思っていたの？
思っている,どうして、そう思っているの？
思ってた,どうして、そう思っていたの？
思ってる,どうして、そう思っているの？
おもう。,どうして、そう思っているの？
おもった,どうして、そう思っていたの？
おもっていた,どうして、そう思っていたの？
おもっている,どうして、そう思っているの？
おもってた,どうして、そう思っていたの？
おもってる,どうして、そう思っているの？
願う。,どうして、そう願っているの？
願った,どうして、そう願っていたの？
願っていた,どうして、そう願っていたの？
願っている,どうして、そう願っているの？
願ってた,どうして、そう願っていたの？
願ってる,どうして、そう願っているの？
ねがう。,どうして、そう願っているの？
ねがった,どうして、そう願っていたの？
ねがっていた,どうして、そう願っていたの？
ねがっている,どうして、そう願っているの？
ねがってた,どうして、そう願っていたの？
ねがってる,どうして、そう願っているの？
てもいい。,どうして、そう思っているの？
でもいい。,どうして、そう思っているの？
てもよかった。,どうして、そう思っているの？
でもよかった。,どうして、そう思っているの？